location.location_num,location.location_name,location.address_1,location.address_2,location.address_3,location.zipcode,location.location_status,location.operator_guid,location.concept_type_code,location.location_type_code,location.service_team_name,location.operator_team_name,location.market_name,location.business_consultant_guid,location.gmt_offset,location.gps_latitude,location.gps_longitude,location.has_dining_room,location.has_drive_thru,location.drv_thru_num_approach_lanes,location.drv_thru_num_order_points,location.drv_thru_num_pickup_windows,location.offers_wireless,location.playground,location.rpp_mobile_payment,location.rpp_mobile_ordering,location.rpp_alist,location.rpp_serves_breakfast,location.rpp_serves_limited_menu,location.rpp_delivery,location.rpp_catering
145,Greenwood Mall (KY),2625 Scottsville Rd Ste 528,,,42104-6381,closed,5322da9ae3c84a5d9f9f8fbe39887d54,CFA,MALL,AT Region Team #2,Western Kentucky,Bowling Green  KY,ac4138aadc24cf4a87f96ee1d6c91769,GMT -06:00,36.9484,-86.4275,Y,N,0,,,N,none,,,,,,,
146,Heritage Park Mall,6833 East Reno Street,,,73110,closed,981d654e45194e08a5f4be183dd8c82c,CFA,MALL,SW Region Team #3,Oklahoma City South,Oklahoma City  OK,361a2efcce1b458babd099e10ffde0db,,35.4658,-97.41,Y,N,0,,,N,none,,,,,,,
147,Hickory Ridge,6075 Winchester Rd,3707 Hickory Ridge Mall,,38115-4012,closed,cb02c8197417bb41ae6065bf991f67f8,CFA,MALL,AT Region Team #2,Memphis 3,Memphis  TN,87c1b065c495e443ac02b1f3aa2c7999,,35.0463,-89.8611,N,N,0,,,N,none,,,,,,,
148,Hickory Hollow Mall,5252 Hickory Hollow Pkwy Ste Fc02,,,37013-3020,closed,,CFA,MALL,AT Region Team #1,Nashville South,Nashville  TN,717bb3f3d5594bc2a054a565d86f9a83,GMT -06:00,36.0516,-86.65649,N,N,0,,,N,none,,,,,,,
149,Highland Mall,432 Highland Mall,,,78752,closed,,CFA,MALL,SW Region Team #1,Austin North,,aa6b12622f45b8408d3a620eda118fd2,,,,Y,N,,,,N,none,,,,,,,
150,Burlington Square Mall,180 Burlington Square Mall # 117,,,27215-5148,closed,313e40b726d24c52abd389de73dccc69,CFA,MALL,AT Region Team #1,Triad East,Greensboro-High Point-Winston Salem  NC,44597ba0ec6e4941983680cbf599a6f7,GMT -05:00,36.0788,-79.4872,Y,N,0,,,N,none,,,,,,,
151,Hammond Square,2000 Southwest Railroad Avenue,,,70403,closed,,CFA,MALL,SW Region Team #2,New Orleans N Shore,New Orleans  LA,e79b8f588fc1c840853732d48f3a5861,,,,Y,N,0,,,N,none,,,,,,,
152,Jasper Mall,300 Highway 78 E Ste 414,,,35501-3887,open,e278da12ea954dbc88bfc5d1c4b06335,CFA,MALL,SE Region Team #3,Central Alabama,Birmingham (Anniston and Tuscaloosa)  AL,7ed5b505851f4242808f33a4f30e2ba2,GMT -06:00,33.8518,-87.2719,Y,N,0,,,N,none,,,,,,,
153,Independence Mall,3500 Oleander Dr Ste Fc2,,,28403-0847,open,806f54d41da54c65b1e3958d8729b8c1,CFA,MALL,AT Region Team #3,Wilmington,Wilmington  NC,7b42386e151c4d8a8249db30693e2928,GMT -05:00,34.21399,-77.90608,N,N,0,,,N,none,,,,,,,
154,Lynnhaven Mall,701 Lynnhaven Pkwy Ste 2041,,,23452-7293,open,d9aa0e205c860c44b4735d9bd7b7d970,CFA,MALL,AT Region Team #1,Virginia Beach,Norfolk-Portsmouth-Newport News  VA,44597ba0ec6e4941983680cbf599a6f7,GMT -05:00,36.81486,-76.07262,Y,N,0,,,N,none,,,,,,,
155,Ingram Park Mall,6301 Nw Loop 410 Ste Vc9,,,78238-3801,open,a9c38af1bac1434196810a751a80e367,CFA,MALL,SW Region Team #1,San Antonio West,San Antonio  TX,78936b780a974f4886a6e21d2b383e5b,GMT -06:00,29.47018,-98.62155,N,N,0,,,N,none,,,,,,,
156,Los Cerritos Center,123 Los Cerritos Mall,Space #FC09,,90703-5420,closed,1799873605084c478e7f827e40ebfacf,CFA,MALL,West Region Team #1,LA Central,Los Angeles  CA,8be2561e6bc4a942b95488caff08ab1e,,33.86101,-118.09251,N,N,0,,,N,none,,,,,,,
157,Irving Mall,3842 Irving Mall,,,75062-5158,closed,,CFA,MALL,SW Region Team #3,DFW Dallas North,Dallas-Ft. Worth  TX,70af91364d53aa49a4e989e8e5f978a2,GMT -06:00,32.84009,-96.99595,N,N,0,,,N,none,,,,,,,
158,Killeen Mall,2100 S W S Young Dr,,,76543-5352,closed,28fface6f88e499d94bfe28c92232708,CFA,MALL,SW Region Team #1,Central Texas,Waco-Temple-Bryan  TX,aa6b12622f45b8408d3a620eda118fd2,GMT -06:00,31.0937,-97.71571,Y,N,0,,,N,none,,,,,,,
159,Hanes Mall,3320 Silas Creek Pkwy Ste FC7,,,27103-3126,open,f9f1ca8b91fa47cd91e4962f26cbbc26,CFA,MALL,AT Region Team #1,Triad West,Greensboro-High Point-Winston Salem  NC,2a1d238b9c31409eac72c9987498aa25,GMT -05:00,36.06958,-80.30034,N,N,0,,,N,none,Yes,No,Yes,No,Yes,Yes,Yes
160,Houston Mall,107 North Houston Road,,,31093,closed,,CFA,MALL,,,Macon  GA,,,,,Y,N,,,,N,none,,,,,,,
161,Jefferson Mall,4801 Outer Loop Road,,,40219,open,41cad57226de410b9548dc35b12845e5,CFA,MALL,AT Region Team #2,Louisville,Louisville  KY,87c1b065c495e443ac02b1f3aa2c7999,GMT -05:00,38.14138,-85.6705,N,N,0,,,N,none,,,,,,,
162,Lufkin Mall,4600 S Medford Dr Ste 1262,,,75901-5610,open,5c88c4ed33db4268897eefb1ea4c5990,CFA,MALL,SW Region Team #2,East Texas,Tyler-Longview(Lufkin & Nacogdoches)  TX,5acc2f9801eb4714a4cf9438751497c4,GMT -06:00,31.31157,-94.72543,Y,N,0,,,N,none,Yes,Yes,Yes,No,Yes,Yes,Yes
163,Hulen Mall,4800 S Hulen St Ste 2102,,,76132-1416,open,47be08e2b99346bb9b2ee55754c8505d,CFA,MALL,SW Region Team #3,DFW Fort Worth South,Dallas-Ft. Worth  TX,70af91364d53aa49a4e989e8e5f978a2,GMT -06:00,32.67832,-97.39796,N,N,0,,,N,none,,,,,,,
164,Longview Mall,3500 Mccann Rd,,,75605-4406,open,5c6a12073831f5468c4e5cb893959e51,CFA,MALL,SW Region Team #2,East Texas,Tyler-Longview(Lufkin & Nacogdoches)  TX,5acc2f9801eb4714a4cf9438751497c4,GMT -06:00,32.53917,-94.75118,Y,N,0,,,N,none,,,,,,,
